"site_id";"site_name";"plant_id";"created_at";"updated_at"
8;"Moldeo";6;"2022-03-24 10:12:00";"2022-03-24 10:12:00"
9;"CVC";6;"2022-03-24 10:12:00";"2022-03-24 10:12:00"
10;"Tipping";6;"2022-03-24 10:12:00";"2022-03-24 10:12:00"
11;"Short Term";7;"2022-03-24 10:12:00";"2022-03-24 10:12:00"
12;"Long Term";7;"2022-03-24 10:12:00";"2022-03-24 10:12:00"
13;"Dilators";7;"2022-03-24 10:12:00";"2022-03-24 10:12:00"
14;"Piccs";7;"2022-03-24 10:12:00";"2022-03-24 10:12:00"
15;"Gyrus";7;"2022-03-24 10:12:00";"2022-03-24 10:12:00"
16;"Sipper";7;"2022-03-24 10:12:00";"2022-03-24 10:12:00"
17;"ID Ring";7;"2022-03-24 10:12:00";"2022-03-24 10:12:00"
18;"Extrusion Silicon";8;"2022-03-24 10:12:00";"2022-03-24 10:12:00"
19;"Toyos";8;"2022-03-24 10:12:00";"2022-03-24 10:12:00"
20;"Planta 3";8;"2022-03-24 10:12:00";"2022-03-24 10:12:00"
